gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000041,520.10,2.34,0.31,7.55,4.35e-14,4.35e-12
ENSG00000000042,94.30,-0.54,0.47,-1.15,0.25014,0.46124
ENSG00000000043,156.80,-1.67,0.39,-4.28,1.87e-05,0.00024
ENSG00000000044,2841.30,2.88,0.33,8.73,2.56e-18,4.35e-16
ENSG00000000045,41.20,0.15,0.61,0.25,0.80259,0.92124
ENSG00000000046,678.40,-1.82,0.28,-6.50,8.03e-11,4.02e-09
ENSG00000000047,118.90,1.31,0.39,3.36,0.00078,0.00520
ENSG00000000048,930.50,-0.42,0.22,-1.91,0.05613,0.15124
ENSG00000000049,34.80,2.41,0.68,3.54,0.00040,0.00311
ENSG00000000050,1450.20,-2.23,0.26,-8.58,9.54e-18,1.36e-15
ENSG00000000051,215.40,0.76,0.33,2.30,0.02145,0.07214
ENSG00000000052,58.10,-1.12,0.52,-2.15,0.03156,0.09812
ENSG00000000053,4902.10,3.67,0.39,9.41,4.98e-21,1.74e-19
ENSG00000000054,174.50,-1.05,0.38,-2.76,0.00578,0.02561
ENSG00000000055,810.30,1.61,0.27,5.96,2.52e-09,9.07e-08
ENSG00000000056,88.40,-1.76,0.46,-3.83,0.00013,0.00104
ENSG00000000057,142.90,1.22,0.41,2.98,0.00288,0.01521
ENSG00000000058,3104.20,-0.08,0.16,-0.50,0.61708,0.79124
ENSG00000000059,620.40,2.02,0.29,6.97,3.17e-12,3.17e-10
ENSG00000000060,110.50,-0.38,0.43,-0.88,0.37886,0.58124
ENSG00000000061,194.20,-1.49,0.36,-4.14,3.47e-05,0.00038
ENSG00000000062,2541.90,2.94,0.32,9.19,3.98e-20,1.31e-17
ENSG00000000063,52.30,0.31,0.56,0.55,0.58232,0.76124
ENSG00000000064,742.10,-1.91,0.27,-7.07,1.55e-12,1.86e-10
ENSG00000000065,125.40,1.56,0.37,4.22,2.44e-05,0.00029
ENSG00000000066,890.50,-0.25,0.21,-1.19,0.23405,0.44124
ENSG00000000067,42.10,2.28,0.65,3.51,0.00045,0.00334
ENSG00000000068,1310.40,-1.71,0.25,-6.84,7.92e-12,6.34e-10
ENSG00000000069,285.40,0.91,0.31,2.94,0.00328,0.01691
ENSG00000000070,21.00,-0.65,0.71,-0.92,0.35757,0.56124
ENSG00000000071,6102.50,4.11,0.43,9.56,1.17e-21,4.68e-19
ENSG00000000072,164.20,-1.18,0.36,-3.28,0.00104,0.00672
ENSG00000000073,694.10,1.42,0.28,5.07,3.98e-07,1.08e-05
ENSG00000000074,81.30,-2.12,0.51,-4.16,3.18e-05,0.00035
ENSG00000000075,134.20,1.05,0.39,2.69,0.00715,0.03045
ENSG00000000076,3842.10,-0.01,0.15,-0.07,0.94419,0.97812
ENSG00000000077,541.20,2.42,0.32,7.56,4.03e-14,4.35e-12
ENSG00000000078,99.40,-0.48,0.45,-1.07,0.28461,0.49812
ENSG00000000079,178.50,-1.54,0.38,-4.05,5.12e-05,0.00050
ENSG00000000080,2984.50,2.75,0.31,8.87,7.24e-19,1.81e-16
ENSG00000000081,38.50,0.08,0.63,0.13,0.89657,0.95412
ENSG00000000082,710.40,-1.75,0.27,-6.48,9.17e-11,4.35e-09
ENSG00000000083,124.50,1.38,0.38,3.63,0.00028,0.00231
ENSG00000000084,912.40,-0.39,0.23,-1.70,0.08913,0.21812
ENSG00000000085,31.20,2.54,0.71,3.58,0.00034,0.00275
ENSG00000000086,1510.80,-2.31,0.27,-8.56,1.14e-17,1.52e-15
ENSG00000000087,242.10,0.82,0.32,2.56,0.01047,0.04124
ENSG00000000088,61.40,-1.24,0.54,-2.30,0.02145,0.07214
ENSG00000000089,5104.60,3.54,0.38,9.32,1.15e-20,3.45e-18
ENSG00000000090,185.20,-0.98,0.37,-2.65,0.00805,0.03345
ENSG00000000091,842.60,1.72,0.28,6.14,8.25e-10,3.47e-08
ENSG00000000092,92.50,-1.65,0.44,-3.75,0.00018,0.00134
ENSG00000000093,151.40,1.15,0.39,2.95,0.00318,0.01652
ENSG00000000094,3210.40,-0.05,0.17,-0.29,0.77181,0.90124
ENSG00000000095,640.80,1.95,0.28,6.96,3.41e-12,3.17e-10
ENSG00000000096,115.40,-0.42,0.41,-1.02,0.30773,0.52124
ENSG00000000097,204.50,-1.38,0.35,-3.94,8.15e-05,0.00074
ENSG00000000098,2641.20,3.02,0.33,9.15,5.69e-20,1.71e-17
ENSG00000000099,58.40,0.42,0.55,0.76,0.44726,0.64124
ENSG00000000100,794.10,-1.84,0.26,-7.08,1.45e-12,1.86e-10
